foil_type,sequence_length,episode_index,trial_index_within_episode,study_length,target_name,foil_name,old_loss_raw,foil_loss_raw,old_grad_raw,foil_grad_raw,old_loss_ratio,foil_loss_ratio,old_grad_ratio,foil_grad_ratio,loss_accuracy_raw,grad_accuracy_raw,loss_accuracy_ratio,grad_accuracy_ratio
novel,1,38,1,1,cd2-a.jpg,10053712.thm.jpg,21.49040985107422,24.670461654663086,19.313598543405533,22.8088289052248,0.3138488590952095,0.33770168349800483,0.2874544728692608,0.31066552432288,1.0,1.0,1.0,1.0
novel,1,39,1,1,ACOLOGNE.jpg,Aantiquemeta2.jpg,20.848697662353516,29.37424659729004,19.27280041575432,29.31987765431404,0.31396847397025435,0.3528119546941524,0.2846720805003755,0.3516358424190098,1.0,1.0,1.0,1.0
novel,1,40,1,1,Acinnamonrol2.jpg,Agarlicclove2.jpg,32.8683967590332,17.466751098632812,31.57590016722679,17.12557129561901,0.321968278952808,0.3513061875408613,0.32329061994584923,0.3507734128531777,0.0,0.0,1.0,1.0
novel,1,41,1,1,largemacscreen.jpg,AANGLEME2.jpg,19.88180923461914,18.072772979736328,16.677481815218925,15.894803702831268,0.3230694559843627,0.33315073684876206,0.27421815436478386,0.29347984962971235,0.0,0.0,1.0,1.0
novel,1,42,1,1,AANTHAT2.jpg,rollerblades.jpg,24.1707706451416,41.556427001953125,22.625141084194183,40.954753398895264,0.3348186425251823,0.41620789468932545,0.3116622295098353,0.4252893730558331,1.0,1.0,1.0,1.0
novel,1,43,1,1,Abridge9.jpg,chunkysoup.jpg,25.10782241821289,27.453794479370117,23.91686999052763,26.31303781270981,0.33046952333355967,0.3351540870208941,0.3091783410767734,0.3250973518048753,1.0,1.0,1.0,1.0
novel,1,44,1,1,26467443.thl.jpg,26374166.thl.jpg,22.71412467956543,15.944655418395996,20.516087278723717,14.539014756679535,0.29932490204760537,0.30684009723897493,0.26686424421656585,0.26931210890635676,0.0,0.0,1.0,1.0
novel,1,45,1,1,weepwalker.jpg,Achowchowdog.jpg,21.031898498535156,26.505937576293945,18.73140813410282,24.55119776725769,0.34314462400103185,0.3667321713507294,0.3021280265352453,0.354729888591402,1.0,1.0,1.0,1.0
novel,1,46,1,1,taz.jpg,AALIEN.jpg,25.42749786376953,22.734498977661133,23.353955626487732,22.41053657233715,0.3125779783820159,0.32813340671211744,0.29412283887946716,0.31692948019712636,0.0,0.0,1.0,1.0
novel,1,47,1,1,AFRAME15.jpg,Aspraybottle4.jpg,21.525386810302734,25.779356002807617,18.69130876660347,23.759929686784744,0.317660436530033,0.3644338688170689,0.26673806429290864,0.3338160111266923,1.0,1.0,1.0,1.0
novel,1,48,1,1,ASLED7.jpg,Aantiquecigar.jpg,21.945175170898438,21.831571578979492,20.609259620308876,19.406641095876694,0.31231184209181834,0.3398678384528779,0.29704979989614316,0.3090323208622546,0.0,0.0,1.0,1.0
novel,1,49,1,1,ACOMPAS20.jpg,AMAGGLASS.jpg,27.05682373046875,20.4588680267334,25.899932458996773,20.323473170399666,0.3566641607257719,0.323339691351626,0.3550829972103196,0.3181381468469723,0.0,0.0,0.0,0.0
novel,1,50,1,1,26377133.thl.jpg,26374899.thl.jpg,17.738718032836914,18.075847625732422,15.400132238864899,15.955880388617516,0.33094329717249116,0.32657241807554344,0.28731902449110774,0.2926156274467542,1.0,1.0,0.0,1.0
novel,1,51,1,1,ASPACEHE8.jpg,moneyslotmachine.jpg,22.46280288696289,28.27155876159668,20.072896271944046,28.32441033422947,0.3385662037514292,0.34953487907110314,0.3153372517671666,0.340580383352394,1.0,1.0,1.0,1.0
novel,1,52,1,1,ADOGTOY5.jpg,8020347.thl.jpg,17.788204193115234,17.91933250427246,15.440288737416267,14.770693644881248,0.3248766594652175,0.3367167758019663,0.27776382338728894,0.2904088813698131,1.0,0.0,1.0,1.0
novel,1,53,1,1,Ashoeshines15.jpg,22826832.thl.jpg,20.6746883392334,40.646217346191406,18.502855271100998,42.63219112157822,0.3256758360825547,0.4476421276313346,0.2999831477727938,0.46000924160868323,1.0,1.0,1.0,1.0
novel,1,54,1,1,ACLAM.jpg,Aheadlightan2.jpg,26.291301727294922,29.763208389282227,24.642387807369232,28.925885394215584,0.32320931357132243,0.3675021242589247,0.30733875414335704,0.3611171417718769,1.0,1.0,1.0,1.0
novel,1,55,1,1,Aspokesfaste2.jpg,Abloodorange.jpg,20.96461296081543,32.565120697021484,19.64233599603176,31.79441110789776,0.31492410583027436,0.3577565191183068,0.29283093736097954,0.35238502340393274,1.0,1.0,1.0,1.0
novel,1,56,1,1,Abowloffruit4.jpg,Adeer16.jpg,27.47686767578125,29.15144920349121,25.60411411523819,28.75850212574005,0.3572006096482166,0.3694050336874381,0.3555433599227207,0.36793954555242786,1.0,1.0,1.0,1.0
novel,1,57,1,1,Acomputerkey2.jpg,Ajacket12.jpg,17.83782958984375,23.440080642700195,15.587434560060501,21.02879959344864,0.30308466983038707,0.3719543461188618,0.2626286296302648,0.34300706271877623,1.0,1.0,1.0,1.0
novel,1,58,1,1,AANTICOT.jpg,Asandal7.jpg,17.686450958251953,22.43475341796875,14.500650733709335,20.1267481893301,0.3115813178225723,0.3549439359716428,0.2505351538224549,0.32705066167532837,1.0,1.0,1.0,1.0
novel,1,59,1,1,9816397.thl.jpg,Atennisball2.jpg,21.040300369262695,32.816688537597656,19.152759179472923,37.97698448598385,0.31353823940817566,0.4374745860628706,0.2890845296484189,0.48186236750588984,1.0,1.0,1.0,1.0
novel,1,60,1,1,chocolatepowder.jpg,asparagus.jpg,22.823421478271484,22.84119987487793,20.75352370738983,22.204358592629433,0.3163696972809261,0.34409015748404553,0.2917747172898315,0.3243935838529541,1.0,1.0,1.0,1.0
novel,1,61,1,1,ACEREAL.jpg,Achair618.jpg,23.22652816772461,27.27379608154297,20.766311556100845,26.604323253035545,0.3195186167704827,0.4050382798496006,0.28993206398335636,0.39807325195903764,1.0,1.0,1.0,1.0
novel,1,62,1,1,Afoodproces13.jpg,8059226.thl.jpg,20.530132293701172,34.07118225097656,17.684980109333992,34.614100843667984,0.309008756018141,0.39831291018774023,0.27019150540888703,0.40653864293545516,1.0,1.0,1.0,1.0
novel,1,63,1,1,railroadblock.jpg,Aglass43.jpg,25.008708953857422,18.454349517822266,22.347897723317146,17.820640802383423,0.3312592207837454,0.3182829408057734,0.3055458095630863,0.2991199120695444,0.0,0.0,0.0,0.0
novel,1,64,1,1,Abedspringsam.jpg,A4DOMINO.jpg,16.413515090942383,18.5848445892334,13.858496010303497,16.14679142832756,0.3172727695101894,0.340343804145653,0.2742109343581734,0.29467831920041976,1.0,1.0,1.0,1.0
novel,1,65,1,1,AASCENDER.jpg,Aeastcho6.jpg,23.26027488708496,43.1133918762207,21.179378479719162,42.53347955644131,0.3251000538469602,0.42036729849049886,0.30142404151769664,0.43213062516509787,1.0,1.0,1.0,1.0
novel,1,66,1,1,AFRUIT2.jpg,26432175.thl.jpg,28.920366287231445,22.761131286621094,27.86810539662838,20.820076256990433,0.38788724890441556,0.3867448915546044,0.3520046151724657,0.35599185676015277,0.0,0.0,0.0,1.0
novel,1,67,1,1,AMAILBO28.jpg,ABLUBLOTT.jpg,20.93453025817871,22.18073081970215,18.366892710328102,19.767565801739693,0.31824109709461684,0.3580275590741744,0.2752262784393633,0.3189890202604143,1.0,1.0,1.0,1.0
novel,1,68,1,1,ASALAMI.jpg,Aclimbersicep.jpg,19.583999633789062,19.392518997192383,17.1614378541708,17.84043452143669,0.30419857871591915,0.33890634796088676,0.26804914288368403,0.30385998060630853,0.0,1.0,1.0,1.0
novel,1,69,1,1,ABUSINEST.jpg,26427867.thl.jpg,18.93303108215332,26.15268898010254,15.883023962378502,27.25011757016182,0.31837072086089563,0.3929850563788387,0.259609868430336,0.4042346829082678,1.0,1.0,1.0,1.0
novel,1,70,1,1,AANTLION2.jpg,AEASEL22.jpg,23.098148345947266,16.061859130859375,21.612669602036476,14.250883027911186,0.31526846003691056,0.3003081093939939,0.28853596272350485,0.2571088191562696,0.0,0.0,0.0,0.0
novel,1,71,1,1,ACANE2.jpg,AWEDCOU19.jpg,14.709031105041504,33.4616584777832,12.384332910180092,31.604397475719452,0.2924972542841769,0.4280307994417861,0.2399735986987127,0.41792606867243576,1.0,1.0,1.0,1.0
novel,1,72,1,1,AMUSIHORN.jpg,Aantelope2.jpg,25.52974510192871,26.293407440185547,23.460933223366737,24.226555854082108,0.35687940237155974,0.3703065234029003,0.32415152583489554,0.3496509615573252,1.0,1.0,1.0,1.0
novel,1,73,1,1,AKETTLE35.jpg,batslcshi.jpg,24.16775894165039,36.541969299316406,21.104095578193665,37.85825711488724,0.284513840585156,0.3838070712432303,0.24526730349998777,0.3945550070966262,1.0,1.0,1.0,1.0
novel,1,74,1,1,10049816.thl.jpg,Atoothbrush3.jpg,14.727142333984375,18.91752052307129,11.676192626357079,18.43731200695038,0.34447817370591066,0.3483476556538123,0.271500909633769,0.32685172110523375,1.0,1.0,1.0,1.0
novel,1,75,1,1,ABABYSPOO.jpg,wok.jpg,21.058080673217773,19.631301879882812,18.876759603619576,17.611903339624405,0.3156015310083168,0.33535064805439413,0.2802593658048715,0.30519763463257193,0.0,0.0,1.0,1.0
novel,1,76,1,1,Aammonitefo14.jpg,Acoffeebeans2.jpg,20.152667999267578,30.785114288330078,18.89297540485859,31.034589856863022,0.30629273780960886,0.3584675024608277,0.28564309020268097,0.34423274341307153,1.0,1.0,1.0,1.0
novel,1,77,1,1,ACUTPIN.jpg,ANECTARI3.jpg,14.995451927185059,43.746124267578125,12.997451484203339,44.41081464290619,0.28118999130406036,0.45900945905495805,0.2384135333002328,0.4559168298751249,1.0,1.0,1.0,1.0
novel,1,78,1,1,26384871.thl.jpg,toblerone.jpg,21.92360496520996,17.359081268310547,20.07795649766922,16.416705191135406,0.3157097696761056,0.29186359603026846,0.2880388168253466,0.2673650624104134,0.0,0.0,0.0,0.0
novel,1,79,1,1,underwear.jpg,26378596.thl.jpg,16.555110931396484,22.221508026123047,13.775472328066826,21.07148167490959,0.3452995925612765,0.3556392896553688,0.2923133448024842,0.33954535702071803,1.0,1.0,1.0,1.0
novel,1,80,1,1,Aleaf75.jpg,AWALLEYE2.jpg,23.875118255615234,21.65424346923828,22.051402673125267,19.552073791623116,0.31622187470296564,0.3360518470303546,0.2913112126615906,0.30646837578945724,0.0,0.0,1.0,1.0
novel,1,81,1,1,ATEALANT8.jpg,Ahandba18.jpg,20.36696434020996,29.815113067626953,18.6987916380167,28.64075791835785,0.30826132393238925,0.3390119627631253,0.2858463016571489,0.3256565697549104,1.0,1.0,1.0,1.0
novel,1,82,1,1,Awildberries.jpg,Aberries5.jpg,21.616008758544922,32.43806838989258,19.647558867931366,31.8034186065197,0.3151008437771251,0.39693311805056636,0.28411669358129077,0.3987012820618535,1.0,1.0,1.0,1.0
novel,1,83,1,1,ALITTERB2.jpg,26442719.thl.jpg,21.50070571899414,23.609006881713867,19.681159779429436,22.078916251659393,0.32663606310876797,0.34979394289493354,0.30821425766267657,0.33224848086845227,1.0,1.0,1.0,1.0
novel,1,84,1,1,AWASHMAC5.jpg,26432755.thl.jpg,19.83298110961914,21.712966918945312,17.43341799080372,20.6118992716074,0.35033154189036203,0.3538284506534482,0.3183506489896579,0.3287739066929015,1.0,1.0,1.0,1.0
novel,1,85,1,1,ATIE16.jpg,Agiftbag20.jpg,22.066238403320312,23.574193954467773,20.274961411952972,21.27285161614418,0.3322137655901336,0.34363725136503154,0.3030666266054875,0.31038645443088836,1.0,1.0,1.0,1.0
novel,1,86,1,1,Abicyclekick2.jpg,Astaircase.jpg,19.35280418395996,25.33678436279297,17.04143412411213,23.863702416419983,0.3196416477190017,0.3549164574235406,0.2807515636043209,0.3292902006769166,1.0,1.0,1.0,1.0
novel,1,87,1,1,AWHISBARR.jpg,AREDROSE8.jpg,22.958681106567383,29.244163513183594,21.241765812039375,29.279496088624,0.31295267393432025,0.38116955710903067,0.29129876566474333,0.3757240495968406,1.0,1.0,1.0,1.0
novel,1,88,1,1,AMECHHAN4.jpg,AMEAT2.jpg,24.15567398071289,39.72813034057617,21.665801346302032,38.65339058637619,0.33807669103153776,0.4042675582754154,0.3017530772919036,0.4030241521788494,1.0,1.0,1.0,1.0
novel,1,89,1,1,ABROOCH53.jpg,butterflycross-stitch.jpg,20.641809463500977,26.493379592895508,18.401001304388046,24.955466106534004,0.3301535265951041,0.40032872682706083,0.29334482979823423,0.4040861866512942,1.0,1.0,1.0,1.0
novel,1,90,1,1,Lanyard.jpg,Ateacherscert.jpg,14.959675788879395,21.069583892822266,12.318276569247246,18.13878457248211,0.28797433259034433,0.3670396406412291,0.23544790537346313,0.3325535876452442,1.0,1.0,1.0,1.0
novel,1,91,1,1,Aacarthatsbe2.jpg,ALACES4.jpg,21.75736427307129,19.99618911743164,20.322660848498344,18.75033737719059,0.3072319071663251,0.3170894399541504,0.2915380995160003,0.2999194654895671,0.0,0.0,1.0,1.0
novel,1,92,1,1,Acandycanesin.jpg,26422507.thl.jpg,23.493167877197266,24.448137283325195,22.09210531413555,22.5873202085495,0.3108592183186115,0.37482916400562305,0.29553821863726243,0.35700256489147186,1.0,1.0,1.0,1.0
novel,1,93,1,1,E_helicopter.jpg,Awomensshoe61.jpg,19.621183395385742,23.44226837158203,16.962456420063972,20.682819351553917,0.33704916357639764,0.36742003537592804,0.2884085051089304,0.34605594148054514,1.0,1.0,1.0,1.0
novel,1,94,1,1,ALOAFBR4.jpg,keys-a.jpg,25.255311965942383,18.60945701599121,23.13878472149372,16.349976003170013,0.32003031146813254,0.3272167797951685,0.293801916916034,0.28354786649312097,0.0,0.0,1.0,0.0
novel,1,95,1,1,Acabinetdraw8.jpg,ABALLYAR4.jpg,22.057720184326172,20.22179412841797,19.98750777542591,19.564629048109055,0.32584060778054,0.36039894856237287,0.3069073719668262,0.3475438304299848,0.0,0.0,1.0,1.0
novel,1,96,1,1,Afrenchsigns2.jpg,AFIGHTP16.jpg,24.49970054626465,22.46526336669922,23.08125515282154,21.475432455539703,0.3007292430905787,0.33908456959701333,0.28022910408463636,0.3163157180298203,0.0,0.0,1.0,1.0
novel,1,97,1,1,Adolphin3.jpg,AOVEN.jpg,15.535446166992188,18.92793846130371,12.782468855381012,16.897252947092056,0.2892865925132469,0.33154453844421894,0.23600667620069624,0.2955723426347411,1.0,1.0,1.0,1.0
novel,1,98,1,1,26384637.thl.jpg,ACOMB5.jpg,21.60224151611328,20.27762794494629,18.968405544757843,18.18170690536499,0.32960430817620606,0.3504277028048592,0.2932547922812523,0.31180307865419915,0.0,0.0,1.0,1.0
novel,1,99,1,1,Ascrewmount.jpg,AHIBACHI.jpg,23.160526275634766,32.08910369873047,20.105373218655586,31.98832592368126,0.3674552330406715,0.4087535618570003,0.3440743510564187,0.4172523192457223,1.0,1.0,1.0,1.0
novel,1,100,1,1,ADIRECSI3.jpg,AGUINEAP2.jpg,22.26470947265625,27.061227798461914,19.936683997511864,24.569908663630486,0.31950415256219494,0.36715215804622087,0.2898117604861527,0.34995311078803026,1.0,1.0,1.0,1.0
novel,10,1,1,10,AARTIVE6.jpg,Astamp23.jpg,1.8513214588165283,1.924515724182129,0.9515514671802521,1.0385760515928268,0.02809723531350863,0.030098404726938626,0.014826340949688207,0.01651706680629414,1.0,1.0,1.0,1.0
novel,10,1,2,10,ACOCKSPA4.jpg,ACOLOGNE.jpg,2.064554214477539,1.8854949474334717,0.9847631603479385,0.9103822559118271,0.029766617085308998,0.0283943861104217,0.01409906367097908,0.01344695141600686,0.0,0.0,0.0,0.0
novel,10,1,3,10,dustpan02.jpg,26425112.thl.jpg,1.8716158866882324,1.880323886871338,0.8189473897218704,0.9104767814278603,0.03353123649201338,0.02935466944932937,0.014999554449427197,0.013675572142454429,1.0,1.0,0.0,0.0
novel,10,1,4,10,Agardeningpai.jpg,Atoypersonwi2.jpg,1.9644482135772705,2.0472702980041504,1.455685093998909,1.6832528859376907,0.027010868501070623,0.02604627925096663,0.019402303169297436,0.021876131217115014,1.0,1.0,0.0,1.0
novel,10,1,5,10,AMEATHER3.jpg,AGERMANH4.jpg,1.8414669036865234,1.9834734201431274,0.8716213330626488,1.4372519254684448,0.03259467390299528,0.022797855318883557,0.015430364294919422,0.01725111444104133,1.0,1.0,0.0,1.0
novel,10,1,6,10,26451219.thl.jpg,Achair485.jpg,1.7560582160949707,1.7573105096817017,0.7359483912587166,0.743242971599102,0.02665589897710741,0.02990810085801934,0.011256677252465583,0.012406464641513815,1.0,1.0,1.0,1.0
novel,10,1,7,10,35310232.thl.jpg,22920212.thl.jpg,1.8828425407409668,1.954153299331665,1.2006043270230293,1.9080070182681084,0.0316395278375466,0.030340008477729805,0.019690977163457076,0.02998010050380917,1.0,1.0,0.0,1.0
novel,10,1,8,10,Araisins4.jpg,ABROOCH53.jpg,1.923720359802246,1.933785080909729,1.2294708713889122,0.8275595381855965,0.02350463691376151,0.030929747959753787,0.015380101378505455,0.013192777276694644,1.0,0.0,1.0,0.0
novel,10,1,9,10,Alanter59.jpg,ATELEBO13.jpg,1.7942445278167725,1.8295608758926392,0.7575048208236694,1.0096017569303513,0.028926620573383733,0.02072748238781184,0.012097594829930494,0.01124102465679651,1.0,1.0,0.0,0.0
novel,10,1,10,10,10049257.thl.jpg,Aknife76.jpg,1.7534464597702026,1.9978309869766235,0.9375010281801224,0.8501274213194847,0.023570564383729824,0.03485409248940654,0.012414766259844917,0.014698745077340838,1.0,0.0,1.0,1.0
novel,10,2,1,10,pinballmachine.jpg,Astereo30.jpg,1.7844725847244263,1.9078633785247803,0.9545595943927765,0.8108600676059723,0.024335691034512535,0.032283553437998325,0.012831906081212643,0.013634484011044338,1.0,0.0,1.0,1.0
novel,10,2,2,10,beanbagchair.jpg,trapezebars.jpg,1.850820779800415,1.8947694301605225,0.7005127519369125,0.7450372353196144,0.03392577471709784,0.02871612978451749,0.013272401201269188,0.010930822958021459,1.0,1.0,0.0,0.0
novel,10,2,3,10,26466347.thl.jpg,Ablackboardw3.jpg,1.9181568622589111,2.0295698642730713,0.9604858458042145,0.9371351599693298,0.028382966314879444,0.03499467603543905,0.013985618451186137,0.016320797543810835,1.0,0.0,1.0,1.0
novel,10,2,4,10,ABEERBOT5.jpg,woodvase.jpg,1.8905400037765503,1.9870686531066895,1.9066374748945236,2.240399219095707,0.030021763550857564,0.02068392791253023,0.029594503654993658,0.022967206229852693,1.0,1.0,0.0,0.0
novel,10,2,5,10,26687972.thl.jpg,JU3VU.jpg,1.8796064853668213,2.2931571006774902,0.7824602946639061,2.8257645070552826,0.03884242967352875,0.025257236159331686,0.01596399579612155,0.031024318937233,1.0,1.0,0.0,1.0
