percentile_rank,global_rank_within_local_subset,concept,local_image_name,local_path,human_cr
12,56,curry,curry_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/curry/curry_01b.jpg,0.675
13,61,cabbage,cabbage_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cabbage/cabbage_01b.jpg,0.682926829
14,66,clover,clover_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/clover/clover_01b.jpg,0.69047619
15,71,dishrag,dishrag_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/dishrag/dishrag_01b.jpg,0.697674419
16,76,brussels_sprouts,brussels_sprouts_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/brussels_sprouts/brussels_sprouts_01b.jpg,0.7
17,81,baklava,baklava_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/baklava/baklava_01s.jpg,0.702702703
18,86,clasp,clasp_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/clasp/clasp_01b.jpg,0.707317073
19,91,bamboo,bamboo_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bamboo/bamboo_01b.jpg,0.714285714
20,96,bottle,bottle_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bottle/bottle_01b.jpg,0.717948718
21,101,airplane,airplane_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/airplane/airplane_01b.jpg,0.720930233
22,106,basketball_hoop,basketball_hoop_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/basketball_hoop/basketball_hoop_01b.jpg,0.725
23,111,cannonball,cannonball_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cannonball/cannonball_01b.jpg,0.725
24,116,barrel,barrel_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/barrel/barrel_01b.jpg,0.72972973
25,121,blazer,blazer_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/blazer/blazer_01b.jpg,0.731707317
26,126,celery,celery_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/celery/celery_01b.jpg,0.731707317
27,131,dishwashing_liquid,dishwashing_liquid_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/dishwashing_liquid/dishwashing_liquid_01b.jpg,0.731707317
28,136,confetti,confetti_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/confetti/confetti_01b.jpg,0.738095238
29,141,casserole,casserole_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/casserole/casserole_01b.jpg,0.743589744
30,146,cream_cheese,cream_cheese_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cream_cheese/cream_cheese_01b.jpg,0.744186047
31,151,barnacle,barnacle_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/barnacle/barnacle_01s.jpg,0.75
32,156,breadbox,breadbox_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/breadbox/breadbox_01b.jpg,0.75
33,161,coffee_table,coffee_table_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/coffee_table/coffee_table_01b.jpg,0.75
34,166,dalmatian,dalmatian_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/dalmatian/dalmatian_01b.jpg,0.750609756
35,171,buckle,buckle_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/buckle/buckle_01b.jpg,0.756097561
36,176,closet,closet_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/closet/closet_01b.jpg,0.756097561
37,181,crutch,crutch_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/crutch/crutch_01b.jpg,0.756097561
38,186,boat,boat_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/boat/boat_01b.jpg,0.761904762
39,191,clipboard,clipboard_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/clipboard/clipboard_01b.jpg,0.763157895
40,196,candy_cane,candy_cane_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/candy_cane/candy_cane_01b.jpg,0.76744186
41,201,cream,cream_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cream/cream_01b.jpg,0.769230769
42,206,barcode,barcode_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/barcode/barcode_01b.jpg,0.775
43,211,cardinal,cardinal_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cardinal/cardinal_01b.jpg,0.775
44,216,crumb,crumb_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/crumb/crumb_01b.jpg,0.775
45,221,cactus,cactus_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cactus/cactus_01b.jpg,0.780487805
46,226,christmas_tree,christmas_tree_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/christmas_tree/christmas_tree_01b.jpg,0.780487805
47,231,alligator,alligator_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/alligator/alligator_01b.jpg,0.785714286
48,236,caviar,caviar_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/caviar/caviar_01b.jpg,0.785714286
49,241,banner,banner_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/banner/banner_01b.jpg,0.789473684
50,246,cufflink,cufflink_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cufflink/cufflink_01b.jpg,0.789473684
51,251,appetizer,appetizer_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/appetizer/appetizer_01b.jpg,0.794871795
52,256,bow1,bow1_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bow1/bow1_01b.jpg,0.794871795
53,261,dandelion,dandelion_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/dandelion/dandelion_01s.jpg,0.794871795
54,266,blowtorch,blowtorch_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/blowtorch/blowtorch_01b.jpg,0.8
55,271,breathalyzer,breathalyzer_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/breathalyzer/breathalyzer_01b.jpg,0.8
56,276,chicken1,chicken1_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chicken1/chicken1_01b.jpg,0.8
57,281,curtain,curtain_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/curtain/curtain_01b.jpg,0.8
58,286,armor,armor_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/armor/armor_01b.jpg,0.804878049
59,291,bassinet,bassinet_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bassinet/bassinet_01b.jpg,0.804878049
60,296,brace,brace_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/brace/brace_01b.jpg,0.804878049
61,301,christmas_card,christmas_card_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/christmas_card/christmas_card_01b.jpg,0.804878049
62,306,cellphone,cellphone_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cellphone/cellphone_01b.jpg,0.80952381
63,311,apron,apron_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/apron/apron_01b.jpg,0.811522048
64,316,cashew,cashew_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cashew/cashew_01b.jpg,0.818181818
65,321,coffee,coffee_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/coffee/coffee_01b.jpg,0.820512821
66,326,badger,badger_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/badger/badger_01b.jpg,0.825
67,331,blinder,blinder_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/blinder/blinder_01b.jpg,0.825
68,336,cello,cello_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cello/cello_01s.jpg,0.825
69,341,cookie,cookie_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cookie/cookie_01b.jpg,0.825
70,346,almond,almond_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/almond/almond_01b.jpg,0.829268293
71,351,carousel,carousel_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/carousel/carousel_01b.jpg,0.829268293
72,356,cockatoo,cockatoo_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cockatoo/cockatoo_01b.jpg,0.829268293
73,361,bolo_tie,bolo_tie_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bolo_tie/bolo_tie_01b.jpg,0.833333333
74,366,coconut,coconut_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/coconut/coconut_01b.jpg,0.833333333
75,371,clothespin,clothespin_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/clothespin/clothespin_01b.jpg,0.840909091
76,376,beaker,beaker_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/beaker/beaker_01b.jpg,0.846153846
77,381,cornmeal,cornmeal_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cornmeal/cornmeal_01b.jpg,0.846153846
78,386,banana,banana_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/banana/banana_01b.jpg,0.85
79,391,camel,camel_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/camel/camel_01b.jpg,0.85
80,396,ankle,ankle_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/ankle/ankle_01b.jpg,0.850609756
81,401,cobra,cobra_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cobra/cobra_01b.jpg,0.853658537
82,406,battery,battery_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/battery/battery_01b.jpg,0.860465116
83,411,bison,bison_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bison/bison_01b.jpg,0.868421053
84,416,bonnet,bonnet_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bonnet/bonnet_01s.jpg,0.871794872
85,421,contact_lens,contact_lens_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/contact_lens/contact_lens_01s.jpg,0.872435897
86,426,beard,beard_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/beard/beard_01b.jpg,0.875
87,431,chocolate,chocolate_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chocolate/chocolate_01b.jpg,0.875
88,436,amber,amber_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/amber/amber_01b.jpg,0.87804878
89,441,cape,cape_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/cape/cape_01b.jpg,0.87804878
90,446,calf2,calf2_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/calf2/calf2_01b.jpg,0.880952381
91,451,chalk,chalk_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chalk/chalk_01b.jpg,0.88372093
92,456,board,board_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/board/board_01b.jpg,0.894736842
93,461,beetle,beetle_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/beetle/beetle_01b.jpg,0.897435897
94,466,bazooka,bazooka_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bazooka/bazooka_01b.jpg,0.9
95,471,bagel,bagel_01s.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bagel/bagel_01s.jpg,0.902439024
96,476,costume,costume_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/costume/costume_01b.jpg,0.902439024
97,481,chihuahua,chihuahua_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/chihuahua/chihuahua_01b.jpg,0.923076923
98,486,bib,bib_01n.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/bib/bib_01n.jpg,0.925
99,491,blower,blower_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/blower/blower_01b.jpg,0.928571429
100,496,anklet,anklet_01b.jpg,/Users/chrisiyer/_Current/lab/code/vision-memory/memory_datasets/THINGS/object_images/anklet/anklet_01b.jpg,0.95
