probe_type,foil_type,sequence_length,episode_index,trial_index_within_episode,study_length,target_key,foil_key,old_familiarity,foil_familiarity,linear_probe_accuracy
loss_probe,novel,1,26,1,1,00068_barbell::exemplar_0,00177_brick::exemplar_0,0.5559776343771858,0.9547745473765581,0.0
loss_probe,novel,1,27,1,1,00115_bird::exemplar_0,00142_bolt::exemplar_0,0.8590714066214615,0.4755518006942903,1.0
loss_probe,novel,1,28,1,1,00157_bow3::exemplar_0,00192_bulletin_board::exemplar_0,0.8715262414988638,0.3390223663216364,1.0
loss_probe,novel,1,29,1,1,00035_arm::exemplar_0,00113_binder::exemplar_0,0.40505653871621516,0.1440564728410903,1.0
loss_probe,novel,1,30,1,1,00174_breadstick::exemplar_0,00187_bucket::exemplar_0,0.8275193421447019,0.8403394893152606,0.0
loss_probe,novel,1,31,1,1,00114_binoculars::exemplar_0,00138_board_game::exemplar_0,0.044073572517930114,0.9734687663146551,0.0
loss_probe,novel,1,32,1,1,00046_backdrop::exemplar_0,00076_basket::exemplar_0,0.08690675376447482,0.741184242374185,0.0
loss_probe,novel,1,33,1,1,00052_bag::exemplar_0,00046_backdrop::exemplar_0,0.6774805476282822,0.10395580615126283,1.0
loss_probe,novel,1,34,1,1,00134_blueberry::exemplar_0,00092_bean::exemplar_0,0.963932881051948,0.7040070018566905,1.0
loss_probe,novel,1,35,1,1,00065_bank::exemplar_0,00096_beard::exemplar_0,0.7847598022409977,0.16713646826329373,1.0
loss_probe,novel,1,36,1,1,00118_birdhouse::exemplar_0,00068_barbell::exemplar_0,0.8553059948074623,0.28538196332136284,1.0
loss_probe,novel,1,37,1,1,00156_bow2::exemplar_0,00072_barrel::exemplar_0,0.47482764238943664,0.5133229238594541,0.0
loss_probe,novel,1,38,1,1,00102_beer::exemplar_0,00034_arch::exemplar_0,0.8500306773039635,0.17123529913127167,1.0
loss_probe,novel,1,39,1,1,00148_bookmark::exemplar_0,00126_blind::exemplar_0,0.7559041619901019,0.877951486588985,0.0
loss_probe,novel,1,40,1,1,00141_bologna::exemplar_0,00061_banana_split::exemplar_0,0.3838885112242916,0.8825198627337411,0.0
loss_probe,novel,1,41,1,1,00145_bongo::exemplar_0,00061_banana_split::exemplar_0,0.7721855646108439,0.8017881573762424,0.0
loss_probe,novel,1,42,1,1,00050_badge::exemplar_0,00180_brooch::exemplar_0,0.7126839833681269,0.913331118668549,0.0
loss_probe,novel,1,43,1,1,00094_beanie::exemplar_0,00034_arch::exemplar_0,0.39234898333008184,0.19079907789636855,1.0
loss_probe,novel,1,44,1,1,00019_ambulance::exemplar_0,00111_bikini::exemplar_0,0.6177327199908899,0.7401750419336123,0.0
loss_probe,novel,1,45,1,1,00167_bracelet1::exemplar_0,00162_box::exemplar_0,0.4671125181795538,0.28887364261914666,1.0
loss_probe,novel,1,46,1,1,00119_biscuit::exemplar_0,00100_bee::exemplar_0,0.28819982521270465,0.9746217143954045,0.0
loss_probe,novel,1,47,1,1,00001_aardvark::exemplar_0,00185_bubble::exemplar_0,0.3759390260580705,0.25878333678460275,1.0
loss_probe,novel,1,48,1,1,00109_berry::exemplar_0,00012_alligator::exemplar_0,0.7128310770192949,0.677892015571183,1.0
loss_probe,novel,1,49,1,1,00058_ballot_box::exemplar_0,00037_arrow::exemplar_0,0.13968995935768067,0.9978750753282426,0.0
loss_probe,novel,1,50,1,1,00128_blindfold::exemplar_0,00179_broccoli::exemplar_0,0.18705207726381112,0.7978008271829083,0.0
loss_probe,novel,1,51,1,1,00114_binoculars::exemplar_0,00164_boxing_gloves::exemplar_0,0.044073572517930114,0.5111952227141121,0.0
loss_probe,novel,1,52,1,1,00065_bank::exemplar_0,00041_asparagus::exemplar_0,0.7847598022409977,0.9670430952949375,0.0
loss_probe,novel,1,53,1,1,00188_buckle::exemplar_0,00106_bell_pepper::exemplar_0,0.683247349659757,0.9998368659651471,0.0
loss_probe,novel,1,54,1,1,00189_buffet::exemplar_0,00065_bank::exemplar_0,0.7197603737216521,0.8252207567897456,0.0
loss_probe,novel,1,55,1,1,00195_bungee::exemplar_0,00090_bead::exemplar_0,0.9054562768807676,0.3837193876440124,1.0
loss_probe,novel,1,56,1,1,00052_bag::exemplar_0,00181_broom::exemplar_0,0.6774805476282822,0.21796390873099383,1.0
loss_probe,novel,1,57,1,1,00162_box::exemplar_0,00096_beard::exemplar_0,0.48894307252880415,0.11958489931993672,1.0
loss_probe,novel,1,58,1,1,00134_blueberry::exemplar_0,00184_brussels_sprouts::exemplar_0,0.963932881051948,0.8792910012450541,1.0
loss_probe,novel,1,59,1,1,00169_bracket::exemplar_0,00036_armor::exemplar_0,0.22220095575812288,0.16027875723984572,1.0
loss_probe,novel,1,60,1,1,00181_broom::exemplar_0,00155_bow1::exemplar_0,0.39374836660554813,0.7583183739586268,0.0
loss_probe,novel,1,61,1,1,00061_banana_split::exemplar_0,00186_bubble_wrap::exemplar_0,0.848356362874952,0.959153935414986,0.0
loss_probe,novel,1,62,1,1,00128_blindfold::exemplar_0,00055_baklava::exemplar_0,0.18705207726381112,0.8437122065114296,0.0
loss_probe,novel,1,63,1,1,00159_bowler_hat::exemplar_0,00011_album::exemplar_0,0.13480468665599962,0.10687868748680494,1.0
loss_probe,novel,1,64,1,1,00149_bookshelf::exemplar_0,00180_brooch::exemplar_0,0.6640303605735134,0.9508544701791819,0.0
loss_probe,novel,1,65,1,1,00152_bottle::exemplar_0,00010_airplane::exemplar_0,0.8428483882576935,0.536500535192633,1.0
loss_probe,novel,1,66,1,1,00092_bean::exemplar_0,00150_boomerang::exemplar_0,0.8870347670143356,0.4177967095227894,1.0
loss_probe,novel,1,67,1,1,00187_bucket::exemplar_0,00146_bonsai::exemplar_0,0.9157636749813064,0.3297218386361552,1.0
loss_probe,novel,1,68,1,1,00088_bazooka::exemplar_0,00047_backgammon::exemplar_0,0.19393383400742548,0.3888877734351468,0.0
loss_probe,novel,1,69,1,1,00076_basket::exemplar_0,00050_badge::exemplar_0,0.8538910846611334,0.6945205893169932,1.0
loss_probe,novel,1,70,1,1,00043_awning::exemplar_0,00176_breathalyzer::exemplar_0,0.17992049019183862,0.39278219375402645,0.0
loss_probe,novel,1,71,1,1,00143_bomb::exemplar_0,00029_apple::exemplar_0,0.24086122256847584,0.5986049167734782,0.0
loss_probe,novel,1,72,1,1,00058_ballot_box::exemplar_0,00043_awning::exemplar_0,0.13968995935768067,0.2126263106897974,0.0
loss_probe,novel,1,73,1,1,00018_amber::exemplar_0,00110_bib::exemplar_0,0.2729743302837963,0.34087410523747425,0.0
loss_probe,novel,1,74,1,1,00165_boy::exemplar_0,00153_boulder::exemplar_0,0.18074951027650063,0.9495947446740002,0.0
loss_probe,novel,1,75,1,1,00143_bomb::exemplar_0,00140_bolo_tie::exemplar_0,0.24086122256847584,0.028560593923152102,1.0
loss_probe,novel,1,76,1,1,00178_briefcase::exemplar_0,00010_airplane::exemplar_0,0.33874415966121335,0.5193148584058324,0.0
loss_probe,novel,1,77,1,1,00113_binder::exemplar_0,00088_bazooka::exemplar_0,0.1778510533475742,0.12380537993654116,1.0
loss_probe,novel,1,78,1,1,00166_bra::exemplar_0,00024_ant::exemplar_0,0.0843531100495657,0.5093041911768204,0.0
loss_probe,novel,1,79,1,1,00135_boa::exemplar_0,00001_aardvark::exemplar_0,0.6881731197925781,0.236353685233846,1.0
loss_probe,novel,1,80,1,1,00033_aquarium::exemplar_0,00080_bat2::exemplar_0,0.8834285745078493,0.1996417341297829,1.0
loss_probe,novel,1,81,1,1,00032_apron::exemplar_0,00105_bell::exemplar_0,0.2237859513442263,0.04934827423275896,1.0
loss_probe,novel,1,82,1,1,00078_bassinet::exemplar_0,00069_barcode::exemplar_0,0.4001655481995333,0.9494428442657014,0.0
loss_probe,novel,1,83,1,1,00145_bongo::exemplar_0,00153_boulder::exemplar_0,0.7721855646108439,0.8893746762635918,0.0
loss_probe,novel,1,84,1,1,00179_broccoli::exemplar_0,00020_amplifier::exemplar_0,0.7814098738561024,0.8272135609243491,0.0
loss_probe,novel,1,85,1,1,00121_blackberry::exemplar_0,00134_blueberry::exemplar_0,0.6153345624599297,0.9984074433683884,0.0
loss_probe,novel,1,86,1,1,00094_beanie::exemplar_0,00010_airplane::exemplar_0,0.39234898333008184,0.40508771839467594,0.0
loss_probe,novel,1,87,1,1,00002_abacus::exemplar_0,00082_bathrobe::exemplar_0,0.746294691407453,0.06601915057164495,1.0
loss_probe,novel,1,88,1,1,00086_baton3::exemplar_0,00040_ashtray::exemplar_0,0.513082597316692,0.1664499986585533,1.0
loss_probe,novel,1,89,1,1,00128_blindfold::exemplar_0,00144_bone::exemplar_0,0.18705207726381112,0.14956748482342802,1.0
loss_probe,novel,1,90,1,1,00137_board::exemplar_0,00133_blowgun::exemplar_0,0.5931284939047645,0.1841264558769673,1.0
loss_probe,novel,1,91,1,1,00122_blanket::exemplar_0,00058_ballot_box::exemplar_0,0.697066733049636,0.14997112151219644,1.0
loss_probe,novel,1,92,1,1,00172_branch::exemplar_0,00054_bagpipe::exemplar_0,0.2942697296431899,0.6982815741288912,0.0
loss_probe,novel,1,93,1,1,00076_basket::exemplar_0,00009_airboat::exemplar_0,0.8538910846611334,0.33995764479060503,1.0
loss_probe,novel,1,94,1,1,00097_bed::exemplar_0,00129_block::exemplar_0,0.3436839564582111,0.7718002770881027,0.0
loss_probe,novel,1,95,1,1,00183_brush::exemplar_0,00041_asparagus::exemplar_0,0.0668569194010659,0.9879540878320779,0.0
loss_probe,novel,1,96,1,1,00190_bull::exemplar_0,00038_artichoke::exemplar_0,0.5388305068513617,0.9367254728272646,0.0
loss_probe,novel,1,97,1,1,00067_barbed_wire::exemplar_0,00109_berry::exemplar_0,0.39284452810219134,0.489945371784575,0.0
loss_probe,novel,1,98,1,1,00176_breathalyzer::exemplar_0,00056_ball::exemplar_0,0.8625334530984086,0.34592861991549956,1.0
loss_probe,novel,1,99,1,1,00067_barbed_wire::exemplar_0,00109_berry::exemplar_0,0.39284452810219134,0.489945371784575,0.0
loss_probe,novel,1,100,1,1,00151_boot::exemplar_0,00061_banana_split::exemplar_0,0.11818991889133537,0.778751601059582,0.0
loss_probe,novel,10,1,1,10,00092_bean::exemplar_0,00010_airplane::exemplar_0,0.2944093717229166,0.4412057276870969,0.0
loss_probe,novel,10,1,2,10,00198_burner::exemplar_0,00082_bathrobe::exemplar_0,0.41590917827791063,0.4201471521395992,0.0
loss_probe,novel,10,1,3,10,00063_bandanna::exemplar_0,00102_beer::exemplar_0,0.43946115234525224,0.6028827525961801,0.0
loss_probe,novel,10,1,4,10,00152_bottle::exemplar_0,00118_birdhouse::exemplar_0,0.6122982576374407,0.4478220572630615,1.0
loss_probe,novel,10,1,5,10,00074_baseball::exemplar_0,00023_anklet::exemplar_0,0.4662890691018111,0.40549236396403787,1.0
loss_probe,novel,10,1,6,10,00110_bib::exemplar_0,00018_amber::exemplar_0,0.5097451952228313,0.41985891395167124,1.0
loss_probe,novel,10,1,7,10,00053_bagel::exemplar_0,00195_bungee::exemplar_0,0.5437167418674587,0.2948600476644573,1.0
loss_probe,novel,10,1,8,10,00165_boy::exemplar_0,00012_alligator::exemplar_0,0.32559386110923355,0.34608034173616137,0.0
loss_probe,novel,10,1,9,10,00090_bead::exemplar_0,00154_bouquet::exemplar_0,0.47785997390119767,0.38875444861960606,1.0
loss_probe,novel,10,1,10,10,00109_berry::exemplar_0,00002_abacus::exemplar_0,0.4635211743459224,0.506131769818174,0.0
loss_probe,novel,10,2,1,10,00168_bracelet2::exemplar_0,00075_baseball_glove::exemplar_0,0.4316915749086198,0.4497761196739708,0.0
loss_probe,novel,10,2,2,10,00199_burrito::exemplar_0,00136_boar::exemplar_0,0.39774788228500557,0.30401645969221636,1.0
loss_probe,novel,10,2,3,10,00079_bat1::exemplar_0,00112_bin::exemplar_0,0.37324151624207147,0.457459444359764,0.0
loss_probe,novel,10,2,4,10,00049_bacon::exemplar_0,00036_armor::exemplar_0,0.5780360500385807,0.455705297522787,1.0
loss_probe,novel,10,2,5,10,00116_birdbath::exemplar_0,00038_artichoke::exemplar_0,0.44360008232666326,0.4756746304942606,0.0
loss_probe,novel,10,2,6,10,00124_blender::exemplar_0,00014_aloe::exemplar_0,0.5369392145736156,0.46786706956749635,1.0
loss_probe,novel,10,2,7,10,00142_bolt::exemplar_0,00029_apple::exemplar_0,0.512609676835233,0.5229796450676156,0.0
loss_probe,novel,10,2,8,10,00100_bee::exemplar_0,00095_bear::exemplar_0,0.560010168498829,0.2113194937032071,1.0
loss_probe,novel,10,2,9,10,00086_baton3::exemplar_0,00041_asparagus::exemplar_0,0.4318402812221324,0.5648155267862605,0.0
loss_probe,novel,10,2,10,10,00016_altar::exemplar_0,00056_ball::exemplar_0,0.48377136999335535,0.40736339397230703,1.0
loss_probe,novel,10,3,1,10,00079_bat1::exemplar_0,00126_blind::exemplar_0,0.40960067372304526,0.4410997654342543,0.0
loss_probe,novel,10,3,2,10,00078_bassinet::exemplar_0,00114_binoculars::exemplar_0,0.4682762489731897,0.3570010392461853,1.0
loss_probe,novel,10,3,3,10,00155_bow1::exemplar_0,00150_boomerang::exemplar_0,0.5327047287996012,0.5127123774920409,1.0
loss_probe,novel,10,3,4,10,00100_bee::exemplar_0,00112_bin::exemplar_0,0.5377184383847201,0.4265727560464697,1.0
loss_probe,novel,10,3,5,10,00075_baseball_glove::exemplar_0,00012_alligator::exemplar_0,0.43393028098938424,0.40069902282640263,1.0
loss_probe,novel,10,3,6,10,00009_airboat::exemplar_0,00090_bead::exemplar_0,0.49081854515684376,0.34345330464593143,1.0
loss_probe,novel,10,3,7,10,00089_beachball::exemplar_0,00137_board::exemplar_0,0.4432400670980792,0.6120286662429351,0.0
loss_probe,novel,10,3,8,10,00033_aquarium::exemplar_0,00076_basket::exemplar_0,0.5111124477887828,0.45574065597185737,1.0
loss_probe,novel,10,3,9,10,00026_antenna::exemplar_0,00034_arch::exemplar_0,0.5920714009410566,0.5824534196664741,1.0
loss_probe,novel,10,3,10,10,00093_beanbag::exemplar_0,00013_almond::exemplar_0,0.5676153902463855,0.634959499527715,0.0
loss_probe,novel,10,4,1,10,00083_bathtub::exemplar_0,00123_blazer::exemplar_0,0.49596030173634614,0.4502959519929157,1.0
loss_probe,novel,10,4,2,10,00043_awning::exemplar_0,00096_beard::exemplar_0,0.4643209958609532,0.5127525376716346,0.0
loss_probe,novel,10,4,3,10,00140_bolo_tie::exemplar_0,00019_ambulance::exemplar_0,0.4374998010485423,0.29336351424971424,1.0
loss_probe,novel,10,4,4,10,00190_bull::exemplar_0,00089_beachball::exemplar_0,0.40579104788475623,0.36387710176995114,1.0
loss_probe,novel,10,4,5,10,00033_aquarium::exemplar_0,00068_barbell::exemplar_0,0.4951713099551055,0.33460856884461115,1.0
loss_probe,novel,10,4,6,10,00002_abacus::exemplar_0,00055_baklava::exemplar_0,0.5601612398863219,0.5394732540685023,1.0
loss_probe,novel,10,4,7,10,00064_banjo::exemplar_0,00013_almond::exemplar_0,0.44711819218808774,0.672201852799525,0.0
loss_probe,novel,10,4,8,10,00175_breakfast::exemplar_0,00184_brussels_sprouts::exemplar_0,0.4563535354982717,0.5085162379920701,0.0
loss_probe,novel,10,4,9,10,00039_arugula::exemplar_0,00061_banana_split::exemplar_0,0.5015976285113545,0.48566290747832314,1.0
loss_probe,novel,10,4,10,10,00023_anklet::exemplar_0,00171_brake::exemplar_0,0.4542469570449118,0.3552267832431406,1.0
loss_probe,novel,10,5,1,10,00062_bandage::exemplar_0,00030_apple_tree::exemplar_0,0.6152856559016996,0.4345940908282921,1.0
loss_probe,novel,10,5,2,10,00134_blueberry::exemplar_0,00158_bowl::exemplar_0,0.3741949380830781,0.5064103619568069,0.0
loss_probe,novel,10,5,3,10,00196_bunkbed::exemplar_0,00036_armor::exemplar_0,0.5289102962816582,0.4472403524258016,1.0
loss_probe,novel,10,5,4,10,00113_binder::exemplar_0,00137_board::exemplar_0,0.5339421525808309,0.6005706765940382,0.0
loss_probe,novel,10,5,5,10,00050_badge::exemplar_0,00195_bungee::exemplar_0,0.43073538734039546,0.2953799997736914,1.0
loss_probe,novel,10,5,6,10,00147_book::exemplar_0,00095_bear::exemplar_0,0.5167009058572389,0.21096544163663591,1.0
loss_probe,novel,10,5,7,10,00101_beehive::exemplar_0,00102_beer::exemplar_0,0.5486464535948146,0.5627661130257828,0.0
loss_probe,novel,10,5,8,10,00159_bowler_hat::exemplar_0,00077_basketball_hoop::exemplar_0,0.5879265261263622,0.5545790840281914,1.0
loss_probe,novel,10,5,9,10,00014_aloe::exemplar_0,00039_arugula::exemplar_0,0.5212250459632046,0.44060690718877715,1.0
loss_probe,novel,10,5,10,10,00141_bologna::exemplar_0,00140_bolo_tie::exemplar_0,0.4893839597832467,0.40900854418183574,1.0
loss_probe,novel,10,6,1,10,00077_basketball_hoop::exemplar_0,00135_boa::exemplar_0,0.5224596062393724,0.3364391463320179,1.0
loss_probe,novel,10,6,2,10,00067_barbed_wire::exemplar_0,00184_brussels_sprouts::exemplar_0,0.37713001441168487,0.5063946122075005,0.0
loss_probe,novel,10,6,3,10,00023_anklet::exemplar_0,00070_bark::exemplar_0,0.4391904269795665,0.442290363662818,0.0
loss_probe,novel,10,6,4,10,00096_beard::exemplar_0,00024_ant::exemplar_0,0.5461223472711206,0.6225475578763668,0.0
loss_probe,novel,10,6,5,10,00014_aloe::exemplar_0,00086_baton3::exemplar_0,0.49781960993425184,0.35283772665016083,1.0
loss_probe,novel,10,6,6,10,00008_airbag::exemplar_0,00161_bowtie::exemplar_0,0.3935068189283968,0.5127918015342253,0.0
loss_probe,novel,10,6,7,10,00043_awning::exemplar_0,00109_berry::exemplar_0,0.5414215511593423,0.37514898748102876,1.0
loss_probe,novel,10,6,8,10,00187_bucket::exemplar_0,00042_avocado::exemplar_0,0.5936574344123549,0.3549653522422508,1.0
loss_probe,novel,10,6,9,10,00004_acorn::exemplar_0,00160_bowling_ball::exemplar_0,0.5226246652324064,0.22904034702645926,1.0
loss_probe,novel,10,6,10,10,00028_appetizer::exemplar_0,00173_brass_knuckles::exemplar_0,0.4621603691443225,0.45484330530020717,1.0
loss_probe,novel,10,7,1,10,00184_brussels_sprouts::exemplar_0,00121_blackberry::exemplar_0,0.5426746582799478,0.2874029370198165,1.0
loss_probe,novel,10,7,2,10,00180_brooch::exemplar_0,00069_barcode::exemplar_0,0.3423281037868142,0.4333276412476949,0.0
loss_probe,novel,10,7,3,10,00075_baseball_glove::exemplar_0,00039_arugula::exemplar_0,0.4455481116918317,0.44516683674897795,1.0
loss_probe,novel,10,7,4,10,00196_bunkbed::exemplar_0,00116_birdbath::exemplar_0,0.460701762640537,0.39892294534795125,1.0
loss_probe,novel,10,7,5,10,00011_album::exemplar_0,00078_bassinet::exemplar_0,0.4173282390285027,0.42988169117130226,0.0
loss_probe,novel,10,7,6,10,00029_apple::exemplar_0,00001_aardvark::exemplar_0,0.5356660522571572,0.35997944308506236,1.0
loss_probe,novel,10,7,7,10,00025_anteater::exemplar_0,00135_boa::exemplar_0,0.32668542593453814,0.3606976223656638,0.0
loss_probe,novel,10,7,8,10,00079_bat1::exemplar_0,00008_airbag::exemplar_0,0.4239030299454708,0.28445728324091224,1.0
loss_probe,novel,10,7,9,10,00104_beetle::exemplar_0,00137_board::exemplar_0,0.49299945038211446,0.5697032690192572,0.0
loss_probe,novel,10,7,10,10,00100_bee::exemplar_0,00067_barbed_wire::exemplar_0,0.5936489266262276,0.3292177794900396,1.0
loss_probe,novel,10,8,1,10,00071_barnacle::exemplar_0,00067_barbed_wire::exemplar_0,0.36641836444306475,0.3050533483425684,1.0
loss_probe,novel,10,8,2,10,00085_baton2::exemplar_0,00040_ashtray::exemplar_0,0.46177067092973373,0.5069648485105811,0.0
loss_probe,novel,10,8,3,10,00058_ballot_box::exemplar_0,00119_biscuit::exemplar_0,0.5143649192361448,0.43820388962776696,1.0
loss_probe,novel,10,8,4,10,00064_banjo::exemplar_0,00149_bookshelf::exemplar_0,0.44544616560300415,0.5055456220321286,0.0
loss_probe,novel,10,8,5,10,00096_beard::exemplar_0,00138_board_game::exemplar_0,0.5071333123620239,0.5529286281999901,0.0
loss_probe,novel,10,8,6,10,00107_belt::exemplar_0,00050_badge::exemplar_0,0.49665954086031566,0.3375732082871463,1.0
loss_probe,novel,10,8,7,10,00041_asparagus::exemplar_0,00197_buoy::exemplar_0,0.5564677934787923,0.4851575359695904,1.0
loss_probe,novel,10,8,8,10,00196_bunkbed::exemplar_0,00097_bed::exemplar_0,0.5313239979123829,0.41516502523250354,1.0
loss_probe,novel,10,8,9,10,00124_blender::exemplar_0,00183_brush::exemplar_0,0.5518899498782209,0.46705822917802675,1.0
loss_probe,novel,10,8,10,10,00105_bell::exemplar_0,00122_blanket::exemplar_0,0.5660501613475132,0.4856405930699423,1.0
loss_probe,novel,10,9,1,10,00049_bacon::exemplar_0,00151_boot::exemplar_0,0.6138934216894354,0.46402212479971333,1.0
loss_probe,novel,10,9,2,10,00008_airbag::exemplar_0,00035_arm::exemplar_0,0.40191118805649045,0.619481616855878,0.0
loss_probe,novel,10,9,3,10,00147_book::exemplar_0,00079_bat1::exemplar_0,0.5463345363576045,0.37457276875230894,1.0
loss_probe,novel,10,9,4,10,00009_airboat::exemplar_0,00021_anchor::exemplar_0,0.4648521467488477,0.42285259583844703,1.0
loss_probe,novel,10,9,5,10,00124_blender::exemplar_0,00128_blindfold::exemplar_0,0.5594171173049226,0.556159401214538,1.0
loss_probe,novel,10,9,6,10,00129_block::exemplar_0,00134_blueberry::exemplar_0,0.6165549907483542,0.30214391239007765,1.0
loss_probe,novel,10,9,7,10,00046_backdrop::exemplar_0,00186_bubble_wrap::exemplar_0,0.5548258068176749,0.5002747631309831,1.0
loss_probe,novel,10,9,8,10,00033_aquarium::exemplar_0,00015_alpaca::exemplar_0,0.5295728301412524,0.20418518306668157,1.0
loss_probe,novel,10,9,9,10,00027_anvil::exemplar_0,00055_baklava::exemplar_0,0.43815062111186953,0.526503624501055,0.0
loss_probe,novel,10,9,10,10,00002_abacus::exemplar_0,00181_broom::exemplar_0,0.6312203596428467,0.42126920440388466,1.0
loss_probe,novel,10,10,1,10,00191_bulldozer::exemplar_0,00077_basketball_hoop::exemplar_0,0.3857403425273347,0.49895559852489746,0.0
loss_probe,novel,10,10,2,10,00167_bracelet1::exemplar_0,00159_bowler_hat::exemplar_0,0.5159081842267137,0.5549005275581252,0.0
loss_probe,novel,10,10,3,10,00177_brick::exemplar_0,00040_ashtray::exemplar_0,0.6995373294252422,0.4866321607877611,1.0
loss_probe,novel,10,10,4,10,00110_bib::exemplar_0,00014_aloe::exemplar_0,0.5048962451592867,0.4425365142114968,1.0
loss_probe,novel,10,10,5,10,00007_air_pump::exemplar_0,00188_buckle::exemplar_0,0.5143597384731969,0.4654550068159036,1.0
loss_probe,novel,10,10,6,10,00137_board::exemplar_0,00129_block::exemplar_0,0.6526891923891669,0.5993285376310875,1.0
loss_probe,novel,10,10,7,10,00006_air_mattress::exemplar_0,00193_bulletproof_vest::exemplar_0,0.4789812967566196,0.35439248905213117,1.0
loss_probe,novel,10,10,8,10,00199_burrito::exemplar_0,00066_banner::exemplar_0,0.3806806722425788,0.42359665430989835,0.0
loss_probe,novel,10,10,9,10,00175_breakfast::exemplar_0,00058_ballot_box::exemplar_0,0.4463552504209134,0.4611186254765341,0.0
loss_probe,novel,10,10,10,10,00037_arrow::exemplar_0,00125_blimp::exemplar_0,0.8853096927413013,0.5475168771850585,1.0
loss_probe,novel,100,1,1,100,00006_air_mattress::exemplar_0,00071_barnacle::exemplar_0,0.7590571633828427,0.5995235895762775,1.0
loss_probe,novel,100,1,2,100,00156_bow2::exemplar_0,00050_badge::exemplar_0,0.7798730188149497,0.6200688356498413,1.0
loss_probe,novel,100,1,3,100,00025_anteater::exemplar_0,00134_blueberry::exemplar_0,0.548455424390032,0.4441157809023717,1.0
loss_probe,novel,100,1,4,100,00063_bandanna::exemplar_0,00121_blackberry::exemplar_0,0.6234303468566995,0.5615181480985528,1.0
loss_probe,novel,100,1,5,100,00081_bathmat::exemplar_0,00041_asparagus::exemplar_0,0.6386439302828676,0.6723549086819056,0.0
